2023-06-17 06:13:34 configure gnupg-l10n:all 2.2.27-2+deb11u2 <none>
2023-06-17 06:13:34 status unpacked gnupg-l10n:all 2.2.27-2+deb11u2
2023-06-17 06:13:34 status half-configured gnupg-l10n:all 2.2.27-2+deb11u2
2023-06-17 06:13:34 status installed gnupg-l10n:all 2.2.27-2+deb11u2
2023-06-17 06:13:34 configure gnupg-utils:amd64 2.2.27-2+deb11u2 <none>
2023-06-17 06:13:34 status unpacked gnupg-utils:amd64 2.2.27-2+deb11u2
2023-06-17 06:13:34 status half-configured gnupg-utils:amd64 2.2.27-2+deb11u2
2023-06-17 06:13:34 status installed gnupg-utils:amd64 2.2.27-2+deb11u2
2023-06-17 06:13:34 configure gpg:amd64 2.2.27-2+deb11u2 <none>
2023-06-17 06:13:34 status unpacked gpg:amd64 2.2.27-2+deb11u2
2023-06-17 06:13:34 status half-configured gpg:amd64 2.2.27-2+deb11u2
2023-06-17 06:13:34 status installed gpg:amd64 2.2.27-2+deb11u2
2023-06-17 06:13:34 configure pinentry-curses:amd64 1.1.0-4 <none>
2023-06-17 06:13:34 status unpacked pinentry-curses:amd64 1.1.0-4
2023-06-17 06:13:34 status half-configured pinentry-curses:amd64 1.1.0-4
2023-06-17 06:13:34 status installed pinentry-curses:amd64 1.1.0-4
2023-06-17 06:13:34 configure gpg-agent:amd64 2.2.27-2+deb11u2 <none>
2023-06-17 06:13:34 status unpacked gpg-agent:amd64 2.2.27-2+deb11u2
2023-06-17 06:13:34 status half-configured gpg-agent:amd64 2.2.27-2+deb11u2
2023-06-17 06:13:35 status installed gpg-agent:amd64 2.2.27-2+deb11u2
2023-06-17 06:13:35 configure gpg-wks-client:amd64 2.2.27-2+deb11u2 <none>
2023-06-17 06:13:35 status unpacked gpg-wks-client:amd64 2.2.27-2+deb11u2
2023-06-17 06:13:35 status half-configured gpg-wks-client:amd64 2.2.27-2+deb11u2
2023-06-17 06:13:35 status installed gpg-wks-client:amd64 2.2.27-2+deb11u2
2023-06-17 06:13:35 configure gpg-wks-server:amd64 2.2.27-2+deb11u2 <none>
